scan_id,record_type,method_version,collected_at,query,point_id,latitude,longitude,rank,status,first_pack_1,first_pack_2,first_pack_3,validity,note
SG-2026-D0,day0_validation,SG-MAPS-v1,2026-09-14T21:09:00Z,print shop saskatoon,r1c1,52.1620190417653,-106.7021210434567,8,ranked,,,,valid,Whitespark Google Maps collector; UI did not expose language device or result-depth settings.
SG-2026-D0,day0_validation,SG-MAPS-v1,2026-09-14T21:09:00Z,print shop saskatoon,r1c2,52.1620199483915,-106.6874769234286,9,ranked,,,,valid,Whitespark Google Maps collector; UI did not expose language device or result-depth settings.
SG-2026-D0,day0_validation,SG-MAPS-v1,2026-09-14T21:09:00Z,print shop saskatoon,r1c3,52.1620208550178,-106.6728328031022,15,ranked,,,,valid,Whitespark Google Maps collector; UI did not expose language device or result-depth settings.
SG-2026-D0,day0_validation,SG-MAPS-v1,2026-09-14T21:09:00Z,print shop saskatoon,r1c4,52.1620217616441,-106.6581886824775,18,ranked,,,,valid,Whitespark Google Maps collector; UI did not expose language device or result-depth settings.
SG-2026-D0,day0_validation,SG-MAPS-v1,2026-09-14T21:09:00Z,print shop saskatoon,r1c5,52.1620226682704,-106.6435445615544,15,ranked,,,,valid,Whitespark Google Maps collector; UI did not expose language device or result-depth settings.
SG-2026-D0,day0_validation,SG-MAPS-v1,2026-09-14T21:09:00Z,print shop saskatoon,r2c1,52.1530431407614,-106.7021092276491,5,ranked,,,,valid,Whitespark Google Maps collector; UI did not expose language device or result-depth settings.
SG-2026-D0,day0_validation,SG-MAPS-v1,2026-09-14T21:09:00Z,print shop saskatoon,r2c2,52.1530422344283,-106.6874680606783,3,ranked,,,,valid,Whitespark Google Maps collector; UI did not expose language device or result-depth settings.
SG-2026-D0,day0_validation,SG-MAPS-v1,2026-09-14T21:09:00Z,print shop saskatoon,r2c3,52.1530413280952,-106.6728268940056,4,ranked,,,,valid,Whitespark Google Maps collector; UI did not expose language device or result-depth settings.
SG-2026-D0,day0_validation,SG-MAPS-v1,2026-09-14T21:09:00Z,print shop saskatoon,r2c4,52.1530404217622,-106.658185727631,11,ranked,,,,valid,Whitespark Google Maps collector; UI did not expose language device or result-depth settings.
SG-2026-D0,day0_validation,SG-MAPS-v1,2026-09-14T21:09:00Z,print shop saskatoon,r2c5,52.1530395154292,-106.6435445615544,10,ranked,,,,valid,Whitespark Google Maps collector; UI did not expose language device or result-depth settings.
SG-2026-D0,day0_validation,SG-MAPS-v1,2026-09-14T21:09:00Z,print shop saskatoon,r3c1,52.1440599879202,-106.7021092276491,5,ranked,,,,valid,Whitespark Google Maps collector; UI did not expose language device or result-depth settings.
SG-2026-D0,day0_validation,SG-MAPS-v1,2026-09-14T21:09:00Z,print shop saskatoon,r3c2,52.1440608939601,-106.6874710139735,3,ranked,,,,valid,Whitespark Google Maps collector; UI did not expose language device or result-depth settings.
SG-2026-D0,day0_validation,SG-MAPS-v1,2026-09-14T21:09:00Z,print shop saskatoon,r3c3,52.1440618,-106.6728328,1,ranked,,,,valid,Whitespark Google Maps collector; public GBP pin (Plus Code 48VG+JV) and grid centre.
SG-2026-D0,day0_validation,SG-MAPS-v1,2026-09-14T21:09:00Z,print shop saskatoon,r3c4,52.1440554565483,-106.6581827737406,4,ranked,,,,valid,Whitespark Google Maps collector; UI did not expose language device or result-depth settings.
SG-2026-D0,day0_validation,SG-MAPS-v1,2026-09-14T21:09:00Z,print shop saskatoon,r3c5,52.144056362588,-106.6435445615544,7,ranked,,,,valid,Whitespark Google Maps collector; UI did not expose language device or result-depth settings.
SG-2026-D0,day0_validation,SG-MAPS-v1,2026-09-14T21:09:00Z,print shop saskatoon,r4c1,52.1350695864675,-106.7020885523897,5,ranked,,,,valid,Whitespark Google Maps collector; UI did not expose language device or result-depth settings.
SG-2026-D0,day0_validation,SG-MAPS-v1,2026-09-14T21:09:00Z,print shop saskatoon,r4c2,52.135070492214,-106.6874532931376,4,ranked,,,,valid,Whitespark Google Maps collector; UI did not expose language device or result-depth settings.
SG-2026-D0,day0_validation,SG-MAPS-v1,2026-09-14T21:09:00Z,print shop saskatoon,r4c3,52.1350713979605,-106.6728180335879,5,ranked,,,,valid,Whitespark Google Maps collector; UI did not expose language device or result-depth settings.
